Time,Temp,SnowDepth,PrecipAcc1HR,SnowInterval
12/17/20 13:00,29,30,0,0
12/17/20 14:00,26,30,0,0
12/17/20 15:00,22,29,0,0
12/17/20 16:00,22,29,0.06,0
12/17/20 17:00,24,30,0,1
12/17/20 18:00,25,31,0.01,1
12/17/20 19:00,24,30,0.01,1
12/17/20 20:00,22,31,0.05,2
12/17/20 21:00,21,32,0.07,3
12/17/20 22:00,21,33,0.03,6
12/17/20 23:00,21,35,0.06,7
12/18/20 0:00,20,36,0.12,11
12/18/20 1:00,20,39,0.12,13
12/18/20 2:00,21,41,0.05,14
12/18/20 3:00,21,41,0.03,15
12/18/20 4:00,20,42,0.05,15
12/18/20 5:00,20,42,0.03,15
12/18/20 6:00,19,42,0.02,15
12/18/20 7:00,18,42,0.03,17
12/18/20 8:00,16,43,0.04,16
12/18/20 9:00,15,43,0.02,17
12/18/20 10:00,14,42,0.02,18
12/18/20 11:00,14,42,0.01,17
12/18/20 12:00,13,42,0.01,17
12/18/20 13:00,14,43,0,17
